"","rn","CCNB1_cor_pro","CCNB1_cor_rna"
"22","CCNB1",1,1
"21","NCAPH",0.766295330713546,0.728229844833688
"20","KIF22",0.734111335398012,0.601691865133464
"19","RACGAP1",0.727869945888871,0.671381384994044
"18","KIF2C",0.720643055836999,0.738759251262217
"17","CENPF",0.71839180288557,0.662390484463811
"16","NCAPG",0.71326115874664,0.693438611348689
"15","KIF11",0.71075007446349,0.688650412565495
"14","SMC4",0.709321884007444,0.620695892389478
"13","ANLN",0.675101577908927,0.697243757151015
"12","TPX2",0.673745433500818,0.749100979753894
"11","UBE2T",0.672823224854336,0.737370358109964
"10","KPNA2",0.670200380270649,0.696782149072078
"9","KIFC1",0.669949158835748,0.755920852756344
"8","CDK1",0.654971793032678,0.706854523594749
"7","TRIP13",0.645916408871166,0.702690792735285
"6","KIF23",0.642630241280967,0.735680997063131
"5","TACC3",0.637411480130904,0.622122509315194
"4","UBE2C",0.628672957987007,0.766917044056279
"3","UBE2S",0.616446562357946,0.703322689848505
"2","PBK",0.608726778567415,0.692275450933211
"1","MAD2L1",0.601332840077242,0.71506508593314
